Character,Vehicle,Tire,Glider,Speed_Avg,Speed_Min,Accel,Weight,Handling_Avg,Handling_Min,Traction,M-turbo,Invincib
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Button = Leaf Tires,Super Glider = Waddle Wing = Hylian Kite,2.625,2.25,4.75,1.75,4.5,4.0,3.5,5.0,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Button = Leaf Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.0,5.0,1.5,4.5625,4.0,3.5,5.25,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Button = Leaf Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.63,2.25,4.75,2.0,4.5,4.25,3.25,5.0,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Button = Leaf Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.0,5.0,1.75,4.5625,4.25,3.25,5.25,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Off-Road = Retro Off-Road = Triforce Tires,Super Glider = Waddle Wing = Hylian Kite,2.8125,2.5,4.25,2.5,4.125,3.5,4.25,4.5,4.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Off-Road = Retro Off-Road = Triforce Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.75,2.5,4.5,2.25,4.1875,3.5,4.25,4.75,4.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Off-Road = Retro Off-Road = Triforce Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.8125,2.75,4.25,2.75,4.125,3.75,4.0,4.5,4.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Off-Road = Retro Off-Road = Triforce Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.6875,2.5,4.5,2.5,4.1875,3.75,4.0,4.75,4.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Sponge,Super Glider = Waddle Wing = Hylian Kite,2.63,2.25,4.5,2.0,4.25,3.5,4.25,5.0,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Sponge,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.0,4.75,1.75,4.3125,3.5,4.25,5.25,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Sponge,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.625,2.0,4.5,2.25,4.25,3.75,4.0,5.0,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Sponge,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.0,4.75,2.0,4.3125,3.75,4.0,5.25,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Cushion,Super Glider = Waddle Wing = Hylian Kite,2.63,2.25,4.5,2.0,4.25,3.5,4.25,5.0,4.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Cushion,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.0,4.75,1.75,4.3125,3.5,4.25,5.25,4.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Cushion,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.625,2.0,4.5,2.25,4.25,3.75,4.0,5.0,4.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Cat Cruiser = Comet,Cushion,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.0,4.75,2.0,4.3125,3.75,4.0,5.25,4.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Standard = Blue Standard,Super Glider = Waddle Wing = Hylian Kite,2.8125,2.5,4.5,2.25,4.5,4.0,4.0,4.75,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Standard = Blue Standard,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.75,2.25,4.75,2.0,4.5625,4.0,4.0,5.0,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Standard = Blue Standard,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.8125,2.5,4.5,2.5,4.50,4.25,3.75,4.75,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Standard = Blue Standard,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.6875,2.25,4.75,2.25,4.5625,4.25,3.75,5.0,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,GLA Tires,Super Glider = Waddle Wing = Hylian Kite,2.8125,2.5,4.5,2.25,4.5,4.0,4.0,4.75,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,GLA Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.75,2.25,4.75,2.0,4.5625,4.0,4.0,5.0,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,GLA Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.8125,2.5,4.5,2.5,4.50,4.25,3.75,4.75,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,GLA Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.6875,2.25,4.75,2.25,4.5625,4.25,3.75,5.0,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Monster = Hot Monster,Super Glider = Waddle Wing = Hylian Kite,2.6875,2.5,4.0,2.75,3.875,3.5,4.5,4.5,4.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Monster = Hot Monster,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.625,2.5,4.25,2.5,3.9375,3.5,4.5,4.75,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Monster = Hot Monster,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.6875,2.25,4.0,3.0,3.875,3.5,4.25,4.5,4.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Monster = Hot Monster,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5625,2.25,4.25,2.75,3.9375,3.5,4.25,4.75,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Ancient Tires,Super Glider = Waddle Wing = Hylian Kite,2.6875,2.5,4.0,2.75,3.875,3.5,4.5,4.5,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Ancient Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.625,2.5,4.25,2.5,3.9375,3.5,4.5,4.75,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Ancient Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.6875,2.25,4.0,3.0,3.875,3.5,4.25,4.5,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Ancient Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5625,2.25,4.25,2.75,3.9375,3.5,4.25,4.75,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Roller = Azure Roller,Super Glider = Waddle Wing = Hylian Kite,2.5625,2.0,5.0,1.75,4.75,4.25,3.75,5.25,2.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Roller = Azure Roller,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.50,1.75,5.25,1.5,4.8125,4.25,3.75,5.5,2.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Roller = Azure Roller,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.5625,2.0,5.0,2.0,4.8,4.5,3.5,5.25,2.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Roller = Azure Roller,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.4375,1.75,5.25,1.75,4.8125,4.5,3.5,5.5,2.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Slim = Wood = Crimson Slim,Super Glider = Waddle Wing = Hylian Kite,2.875,2.5,4.0,2.25,4.6875,4.25,3.0,4.5,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Slim = Wood = Crimson Slim,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.8125,2.5,4.25,2.0,4.75,4.25,3.0,4.75,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Slim = Wood = Crimson Slim,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.88,2.25,4.0,2.5,4.6875,4.25,2.75,4.5,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Slim = Wood = Crimson Slim,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.75,2.25,4.25,2.25,4.75,4.25,2.75,4.75,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Slick = Cyber Slick,Super Glider = Waddle Wing = Hylian Kite,2.6875,2.0,3.75,2.5,4.0625,3.25,2.75,4.25,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Slick = Cyber Slick,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.625,2.0,4.0,2.25,4.125,3.25,2.75,4.5,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Slick = Cyber Slick,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.6875,1.75,3.75,2.75,4.0625,3.5,2.5,4.25,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Slick = Cyber Slick,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5625,1.75,4.0,2.5,4.1,3.5,2.5,4.5,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Metal,Super Glider = Waddle Wing = Hylian Kite,2.8125,2.25,3.5,2.75,4.0625,3.75,3.25,4.25,4.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Metal,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.75,2.5,3.75,2.5,4.125,3.75,3.25,4.5,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Metal,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.8125,2.5,3.5,3.0,4.0625,3.75,3.0,4.25,4.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Metal,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.6875,2.5,3.75,2.75,4.125,3.75,3.0,4.5,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Gold Tires,Super Glider = Waddle Wing = Hylian Kite,2.8125,2.25,3.5,2.75,4.0625,3.75,3.25,4.25,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Gold Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.75,2.5,3.75,2.5,4.125,3.75,3.25,4.5,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Gold Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.8125,2.5,3.5,3.0,4.0625,3.75,3.0,4.25,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Gold Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.6875,2.5,3.75,2.75,4.125,3.75,3.0,4.5,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Button = Leaf Tires,Super Glider = Waddle Wing = Hylian Kite,2.625,2.25,4.75,1.75,4.5,4.0,3.5,5.0,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Button = Leaf Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.0,5.0,1.5,4.5625,4.0,3.5,5.25,3.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Button = Leaf Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.63,2.25,4.75,2.0,4.5,4.25,3.25,5.0,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Button = Leaf Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.0,5.0,1.75,4.5625,4.25,3.25,5.25,3.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Off-Road = Retro Off-Road = Triforce Tires,Super Glider = Waddle Wing = Hylian Kite,2.8125,2.5,4.25,2.5,4.125,3.5,4.25,4.5,4.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Off-Road = Retro Off-Road = Triforce Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.75,2.5,4.5,2.25,4.1875,3.5,4.25,4.75,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Off-Road = Retro Off-Road = Triforce Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.8125,2.75,4.25,2.75,4.125,3.75,4.0,4.5,4.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Off-Road = Retro Off-Road = Triforce Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.6875,2.5,4.5,2.5,4.1875,3.75,4.0,4.75,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Sponge,Super Glider = Waddle Wing = Hylian Kite,2.63,2.25,4.5,2.0,4.25,3.5,4.25,5.0,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Sponge,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.0,4.75,1.75,4.3125,3.5,4.25,5.25,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Sponge,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.625,2.0,4.5,2.25,4.25,3.75,4.0,5.0,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Sponge,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.0,4.75,2.0,4.3125,3.75,4.0,5.25,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Cushion,Super Glider = Waddle Wing = Hylian Kite,2.63,2.25,4.5,2.0,4.25,3.5,4.25,5.0,4.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Cushion,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.0,4.75,1.75,4.3125,3.5,4.25,5.25,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Cushion,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.625,2.0,4.5,2.25,4.25,3.75,4.0,5.0,4.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Yoshi Bike,Cushion,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.0,4.75,2.0,4.3125,3.75,4.0,5.25,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Standard = Blue Standard,Super Glider = Waddle Wing = Hylian Kite,2.8125,2.5,4.5,2.25,4.5,4.0,4.0,4.75,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Standard = Blue Standard,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.75,2.25,4.75,2.0,4.5625,4.0,4.0,5.0,3.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Standard = Blue Standard,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.8125,2.5,4.5,2.5,4.50,4.25,3.75,4.75,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Standard = Blue Standard,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.6875,2.25,4.75,2.25,4.5625,4.25,3.75,5.0,3.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,GLA Tires,Super Glider = Waddle Wing = Hylian Kite,2.8125,2.5,4.5,2.25,4.5,4.0,4.0,4.75,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,GLA Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.75,2.25,4.75,2.0,4.5625,4.0,4.0,5.0,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,GLA Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.8125,2.5,4.5,2.5,4.50,4.25,3.75,4.75,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,GLA Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.6875,2.25,4.75,2.25,4.5625,4.25,3.75,5.0,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Monster = Hot Monster,Super Glider = Waddle Wing = Hylian Kite,2.6875,2.5,4.0,2.75,3.875,3.5,4.5,4.5,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Monster = Hot Monster,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.625,2.5,4.25,2.5,3.9375,3.5,4.5,4.75,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Monster = Hot Monster,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.6875,2.25,4.0,3.0,3.875,3.5,4.25,4.5,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Monster = Hot Monster,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5625,2.25,4.25,2.75,3.9375,3.5,4.25,4.75,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Ancient Tires,Super Glider = Waddle Wing = Hylian Kite,2.6875,2.5,4.0,2.75,3.875,3.5,4.5,4.5,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Ancient Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.625,2.5,4.25,2.5,3.9375,3.5,4.5,4.75,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Ancient Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.6875,2.25,4.0,3.0,3.875,3.5,4.25,4.5,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Ancient Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5625,2.25,4.25,2.75,3.9375,3.5,4.25,4.75,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Roller = Azure Roller,Super Glider = Waddle Wing = Hylian Kite,2.5625,2.0,5.0,1.75,4.75,4.25,3.75,5.25,2.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Roller = Azure Roller,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.50,1.75,5.25,1.5,4.8125,4.25,3.75,5.5,2.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Roller = Azure Roller,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.5625,2.0,5.0,2.0,4.8,4.5,3.5,5.25,2.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Roller = Azure Roller,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.4375,1.75,5.25,1.75,4.8125,4.5,3.5,5.5,2.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Slim = Wood = Crimson Slim,Super Glider = Waddle Wing = Hylian Kite,2.875,2.5,4.0,2.25,4.6875,4.25,3.0,4.5,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Slim = Wood = Crimson Slim,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.8125,2.5,4.25,2.0,4.75,4.25,3.0,4.75,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Slim = Wood = Crimson Slim,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.88,2.25,4.0,2.5,4.6875,4.25,2.75,4.5,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Slim = Wood = Crimson Slim,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.75,2.25,4.25,2.25,4.75,4.25,2.75,4.75,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Slick = Cyber Slick,Super Glider = Waddle Wing = Hylian Kite,2.6875,2.0,3.75,2.5,4.0625,3.25,2.75,4.25,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Slick = Cyber Slick,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.625,2.0,4.0,2.25,4.125,3.25,2.75,4.5,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Slick = Cyber Slick,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.6875,1.75,3.75,2.75,4.0625,3.5,2.5,4.25,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Slick = Cyber Slick,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5625,1.75,4.0,2.5,4.1,3.5,2.5,4.5,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Metal,Super Glider = Waddle Wing = Hylian Kite,2.8125,2.25,3.5,2.75,4.0625,3.75,3.25,4.25,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Metal,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.75,2.5,3.75,2.5,4.125,3.75,3.25,4.5,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Metal,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.8125,2.5,3.5,3.0,4.0625,3.75,3.0,4.25,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Metal,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.6875,2.5,3.75,2.75,4.125,3.75,3.0,4.5,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Gold Tires,Super Glider = Waddle Wing = Hylian Kite,2.8125,2.25,3.5,2.75,4.0625,3.75,3.25,4.25,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Gold Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.75,2.5,3.75,2.5,4.125,3.75,3.25,4.5,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Gold Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.8125,2.5,3.5,3.0,4.0625,3.75,3.0,4.25,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Gold Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.6875,2.5,3.75,2.75,4.125,3.75,3.0,4.5,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Button = Leaf Tires,Super Glider = Waddle Wing = Hylian Kite,2.625,2.25,4.75,1.75,4.5,4.0,3.5,5.0,3.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Button = Leaf Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.0,5.0,1.5,4.5625,4.0,3.5,5.25,3.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Button = Leaf Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.63,2.25,4.75,2.0,4.5,4.25,3.25,5.0,3.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Button = Leaf Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.0,5.0,1.75,4.5625,4.25,3.25,5.25,3.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Off-Road = Retro Off-Road = Triforce Tires,Super Glider = Waddle Wing = Hylian Kite,2.8125,2.5,4.25,2.5,4.125,3.5,4.25,4.5,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Off-Road = Retro Off-Road = Triforce Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.75,2.5,4.5,2.25,4.1875,3.5,4.25,4.75,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Off-Road = Retro Off-Road = Triforce Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.8125,2.75,4.25,2.75,4.125,3.75,4.0,4.5,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Off-Road = Retro Off-Road = Triforce Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.6875,2.5,4.5,2.5,4.1875,3.75,4.0,4.75,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Sponge,Super Glider = Waddle Wing = Hylian Kite,2.63,2.25,4.5,2.0,4.25,3.5,4.25,5.0,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Sponge,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.0,4.75,1.75,4.3125,3.5,4.25,5.25,3.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Sponge,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.625,2.0,4.5,2.25,4.25,3.75,4.0,5.0,3.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Sponge,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.0,4.75,2.0,4.3125,3.75,4.0,5.25,3.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Cushion,Super Glider = Waddle Wing = Hylian Kite,2.63,2.25,4.5,2.0,4.25,3.5,4.25,5.0,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Cushion,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.0,4.75,1.75,4.3125,3.5,4.25,5.25,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Cushion,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.625,2.0,4.5,2.25,4.25,3.75,4.0,5.0,4.0
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Teddy Buggy,Cushion,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.0,4.75,2.0,4.3125,3.75,4.0,5.25,3.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Circuit Special = B-Dasher = P-Wing,Standard = Blue Standard,Super Glider = Waddle Wing = Hylian Kite,2.875,2.5,3.5,2.5,3.9375,3.75,3.5,4.0,4.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Circuit Special = B-Dasher = P-Wing,Standard = Blue Standard,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.8125,2.5,3.75,2.25,4,3.75,3.5,4.25,4.5
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Circuit Special = B-Dasher = P-Wing,Standard = Blue Standard,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.875,2.25,3.5,2.75,3.9375,3.75,3.25,4.0,4.75
Baby Mario = Baby Luigi = Dry Bones = Light Mii,Circuit Special = B-Dasher = P-Wing,Standard = Blue Standard,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.75,2.25,3.75,2.5,4.0,4.0,3.25,4.25,4.5
